filename,title,medium,size,page
munich.JPG,Munich,Charcoal on paper,"15"" x 22""",s
luxembourg.JPG,Luxembourg,Charcoal on paper,"15"" x 22""",s
timeline.JPG,Timeline,Charcoal on paper,"30"" x 22""",s
raspberries.JPG,Raspberries,Charcoal on paper,"30"" x 22"", Diptych",s
Hoff_Riley_SelfPortraitWithFlowers.jpg,Self Portrait with Flowers,Acrylic on Canvas,"22"" x 18""",s
engulf_cropped.jpg,Engulf,Acrylic on Canvas,"22"" x 18""",s
dusk.jpg,Dusk,Acrylic on wood,"23"" x 18""",s
Emerald_Acrylic_RileyHoff.jpg,Emerald,Acrylic on Paper, ,s
clairity.JPG,Clairity,Charcoal on paper,"22"" x 30""",s
Hoff_Riley_SelfPortraitWithFlowers.jpg,Self Portrait with Flowers,Acrylic on Canvas,"22"" x 18""",p
engulf_cropped.jpg,Engulf,Acrylic on Canvas,"22"" x 18""",p
dusk.jpg,Dusk,Acrylic on wood,"23"" x 18""",p
Emerald_Acrylic_RileyHoff.jpg,Emerald,Acrylic on Paper, ,p
munich.JPG,Munich,Charcoal on paper,"15"" x 22""",d
luxembourg.JPG,Luxembourg,Charcoal on paper,"15"" x 22""",d
timeline.JPG,Timeline,Charcoal on paper,"30"" x 22""",d
raspberries.JPG,Raspberries,Charcoal on paper,"30"" x 22"", Diptych",d
clairity.JPG,Clairity,Charcoal on paper,"22"" x 30""",d
fracture.jpg,Fracture,Charcoal on paper,"22"" x 22""",d
devotion.jpg,Devotion,Charcoal on paper,"22"" x 30""",d
Fall2016_3.jpg,Untitled,Graphite on Toned Paper,,d
Fall2016_2.jpg,Untitled,Graphite on Toned Paper,,d
Fall2016_1.jpg,Untitled,Graphite on Toned Paper,,d
StillIWonderWhy_Charcoal_RileyHoff.jpg,Still I Wonder Why,Charcoal on paper,,d
rust.jpg,Rust,Acrylic on Canvas,,p
ghost_world.jpg,Ghost World,Acrylic on Canvas,,p
DSC_0659.jpg,,Acrylic on Canvas,,p
